"ID","year","place","sowing","varietyID","variety","block","plot","ind","CanopyArea_20170726","CanopyArea_20170802","CanopyArea_20170809","CanopyArea_20170812","CanopyArea_20170813","CanopyArea_20170814","CanopyArea_20170819","CanopyArea_20170829","CanopyArea_20170904","CanopyArea_20170905","CanopyArea_20170909","CanopyArea_20170910","CanopyArea_20170911","CanopyArea_20170919","CanopyArea_20170920","CanopyArea_20170921"
NA,2017,"Tottori","Jul",152,"GmWMC152","C1",1,NA,0.072701097,0.166432888,0.258122563,0.363983015,0.412829843,0.441665682,0.556768949,0.750687428,0.783781367,0.82903253,0.93160625,0.681105794,0.862001354,0.464380328,0.491222649,0.514276913
NA,2017,"Tottori","Jul",112,"GmJMC112","C1",2,NA,0.070233587,0.137069733,0.244116537,0.374212922,0.405517114,0.435899064,0.521852437,0.745711456,0.79221012,0.819800038,0.8950625,0.6709794,0.841153475,0.651430587,0.688290596,0.586079298
NA,2017,"Tottori","Jul",129,"GmWMC129","C1",3,NA,0.076905271,0.152543139,0.218429523,0.321358405,0.343622226,0.3766624,0.439582829,0.66674463,0.819093517,0.85359922,0.999475,0.794648418,0.979888003,0.766934022,0.841037431,0.608924333
NA,2017,"Tottori","Jul",102,"GmJMC102","C1",4,NA,0.042114102,0.094209766,0.153551677,0.224972975,0.24583145,0.280601178,0.363012746,0.464440706,0.553525948,0.522468483,0.59455625,0.43457928,0.568434569,0.522576405,0.567947017,0.386360276
NA,2017,"Tottori","Jul",88,"GmJMC088","C1",5,NA,0.072686625,0.146500235,0.230984726,0.336629628,0.355120636,0.410043348,0.537892729,0.73265844,0.812076425,0.79711182,0.837375,0.709509092,0.832124421,0.635343786,0.678398847,0.661174895
NA,2017,"Tottori","Jul",145,"GmJMC145","C1",6,NA,0.061231878,0.123703901,0.193362519,0.285519746,0.313334392,0.368302849,0.4787394,0.603454256,0.677597616,0.680286818,0.69761875,0.632493814,0.762135114,0.484481341,0.576695462,0.536179795
NA,2017,"Tottori","Jul",148,"GmWMC148","C1",7,NA,0.05746187,0.110629795,0.231672937,0.318684808,0.358122817,0.400669526,0.52816065,0.743729621,0.812272203,0.855331145,0.92234375,0.726533429,0.871143507,0.627295392,0.685989516,0.687805826
NA,2017,"Tottori","Jul",116,"GmJMC116","C1",8,NA,0.087238422,0.174321408,0.298088408,0.444468475,0.480066769,0.550568876,0.668027285,0.887505277,0.932242839,0.906649415,0.96739375,0.798573719,0.965703529,0.78986096,0.820023796,0.786334223
NA,2017,"Tottori","Jul",146,"GmWMC146","C1",9,NA,0.012793425,0.023707235,0.060959383,0.096476061,0.104468323,0.125581399,0.188001342,0.43097765,0.51417459,0.563834845,0.599975,0.545449172,0.627915113,0.382847904,0.441040295,0.457808274
NA,2017,"Tottori","Jul",153,"GmWMC153","C1",10,NA,0.054227333,0.10933191,0.230091911,0.364889319,0.40356271,0.463112593,0.524031261,0.771525203,0.719092227,0.780192245,0.8784375,0.728332892,0.888673821,0.756049718,0.811311532,0.789679296
