"ID","year","place","sowing","varietyID","variety","block","plot","ind","CanopyArea_20170726","CanopyArea_20170802","CanopyArea_20170809","CanopyArea_20170812","CanopyArea_20170813","CanopyArea_20170814","CanopyArea_20170819","CanopyArea_20170829","CanopyArea_20170904","CanopyArea_20170905","CanopyArea_20170909","CanopyArea_20170910","CanopyArea_20170911","CanopyArea_20170919","CanopyArea_20170920","CanopyArea_20170921"
NA,2017,"Tottori","Jul",21,"GmJMC021","D1",1,NA,0.070884836,0.162396347,0.245046552,0.286646962,0.310592798,0.342905191,0.247389845,0.236194715,0.20339263,0.169955133,0.15320625,0.215573975,0.140327336,0.167788037,0.170648946,0.137303586
NA,2017,"Tottori","Jul",135,"GmWMC135","D1",2,NA,0.056622483,0.121012874,0.210425194,0.287819493,0.302970622,0.375689028,0.298215227,0.358212967,0.279035028,0.326494508,0.33094375,0.496599028,0.423922577,0.414941622,0.42173438,0.383974643
NA,2017,"Tottori","Jul",118,"GmWMC118","D1",3,NA,0.058076939,0.145636963,0.246491176,0.32154533,0.342058702,0.3860853,0.325820575,0.374858949,0.314975729,0.353139508,0.3010625,0.347120057,0.298505433,0.28325153,0.319365274,0.298688242
NA,2017,"Tottori","Jul",191,"GmWMC191","D1",4,NA,0.04677415,0.11288621,0.198179996,0.259503157,0.309344151,0.359346187,0.309890954,0.453298235,0.369659588,0.439868983,0.4375125,0.511541633,0.451217088,0.399943251,0.442950625,0.413034426
NA,2017,"Tottori","Jul",221,"C0394","D1",5,NA,0.070110573,0.161866477,0.227376267,0.285310164,0.303839246,0.336737773,0.317630965,0.373247817,0.309967936,0.376613753,0.35819375,0.364761857,0.356374319,0.388080358,0.459984405,0.397372223
NA,2017,"Tottori","Jul",90,"GmJMC090","D1",6,NA,0.063518486,0.111469253,0.200697237,0.296004551,0.320435394,0.362397178,0.342614808,0.420391233,0.360375593,0.439082955,0.36954375,0.471283045,0.409530755,0.361348907,0.424824195,0.414823651
NA,2017,"Tottori","Jul",34,"GmJMC034","D1",7,NA,0.034617502,0.102711507,0.168872124,0.288244323,0.332807857,0.394125846,0.339592122,0.45236435,0.317716619,0.412957533,0.33094375,0.457372486,0.434082619,0.307047214,0.356471994,0.323400294
NA,2017,"Tottori","Jul",72,"GmWMC072","D1",8,NA,0.063424417,0.126758098,0.197504186,0.276014883,0.300500473,0.336508744,0.237581681,0.311646992,0.262991544,0.286953328,0.30705,0.359319362,0.346525298,0.314366659,0.343396362,0.313728106
NA,2017,"Tottori","Jul",122,"GmWMC122","D1",9,NA,0.061883127,0.174714346,0.244792348,0.330489418,0.369371498,0.405847213,0.362341807,0.464540511,0.431082328,0.488149723,0.38950625,0.49818679,0.453846635,0.431767358,0.520101924,0.455716523
NA,2017,"Tottori","Jul",89,"GmWMC089","D1",10,NA,0.05397407,0.143493667,0.237556832,0.314691406,0.3583074,0.396726959,0.290606637,0.329554789,0.289555514,0.320086385,0.25329375,0.297132017,0.256998173,0.230198037,0.290587304,0.238528786
NA,2017,"Tottori","Jul",46,"GmWMC046","D1",11,NA,0.055450234,0.139647642,0.219024733,0.288187679,0.307482038,0.346250648,0.156896043,0.201633808,0.046007807,0.029869045,0.02388125,0.092284256,0.020338934,0.024884115,0.070414489,0.058335656
NA,2017,"Tottori","Jul",140,"GmWMC140","D1",12,NA,0.041781241,0.099984758,0.181762132,0.270135236,0.29439296,0.32207175,0.332965732,0.376876427,0.350576394,0.375947628,0.405125,0.470092224,0.473224229,0.447484693,0.478067419,0.462709195
NA,2017,"Tottori","Jul",174,"GmWMC174","D1",13,NA,0.054335875,0.152150202,0.294083143,0.408187993,0.430723497,0.46869926,0.409812491,0.518762924,0.45692501,0.531234688,0.517575,0.665845637,0.653880712,0.592575461,0.656661603,0.619296653
NA,2017,"Tottori","Jul",189,"GmWMC189","D1",14,NA,0.049712007,0.119232747,0.203468682,0.309514145,0.349778598,0.380277784,0.374453298,0.421688693,0.367269036,0.419672073,0.4251375,0.490662563,0.483101524,0.459667125,0.511143632,0.476366083
NA,2017,"Tottori","Jul",1134,"Nagoyadai1","D1",15,NA,0.033011088,0.076473992,0.146458762,0.22521088,0.236911767,0.27544803,0.212819179,0.259484831,0.236149364,0.273191185,0.21155,0.312418636,0.324631256,0.274863626,0.333540793,0.273535366
NA,2017,"Tottori","Jul",29,"GmWMC029","D1",16,NA,0.051629574,0.120691379,0.249727628,0.328620166,0.373622327,0.405135588,0.341770946,0.382665094,0.367650288,0.419152495,0.3831125,0.42487629,0.370294896,0.339290717,0.378940085,0.332882323
