"ID","year","place","sowing","varietyID","variety","block","plot","ind","CanopyArea_20180722","CanopyArea_20180723","CanopyArea_20180724","CanopyArea_20180725","CanopyArea_20180726","CanopyArea_20180727","CanopyArea_20180728","CanopyArea_20180731","CanopyArea_20180801","CanopyArea_20180802","CanopyArea_20180803","CanopyArea_20180804","CanopyArea_20180805","CanopyArea_20180807","CanopyArea_20180808","CanopyArea_20180809","CanopyArea_20180810","CanopyArea_20180812","CanopyArea_20180813","CanopyArea_20180814","CanopyArea_20180817","CanopyArea_20180818","CanopyArea_20180820","CanopyArea_20180825","CanopyArea_20180827","CanopyArea_20180828"
NA,2018,"Tottori","Jul",49,"GmJMC049","C1",1,0,0.00679,0.00983,0.00866,0.0095,0.01076,0.01107,0.01996,0.02272,0.0311,0.03273,0.05143,0.04434,0.05477,0.07616,0.09644,0.14292,0.15382,0.18587,0.25157,0.22854,0.31986,0.33481,0.36596,0.44142,0.46714,0.50348
NA,2018,"Tottori","Jul",160,"GmWMC160","C1",2,0,0.00798,0.0102,0.01022,0.01357,0.0125,0.01108,0.01929,0.02765,0.02123,0.03391,0.04829,0.04137,0.05131,0.06156,0.09228,0.12175,0.13021,0.1851,0.2023,0.22044,0.26566,0.28614,0.32371,0.47761,0.52316,0.59303
NA,2018,"Tottori","Jul",165,"GmWMC165","C1",3,0,0.00448,0.00639,0.00629,0.00776,0.0075,0.00828,0.0144,0.01883,0.03069,0.02975,0.04307,0.04644,0.05269,0.08314,0.09768,0.14892,0.15259,0.19482,0.23494,0.24808,0.29235,0.30484,0.34843,0.56495,0.62634,0.73044
NA,2018,"Tottori","Jul",44,"GmJMC044","C1",4,0,0.01451,0.01898,0.01876,0.01893,0.02173,0.02233,0.03329,0.04615,0.05167,0.06437,0.07827,0.08514,0.10066,0.11955,0.15712,0.18907,0.22157,0.26802,0.29954,0.2938,0.32067,0.36823,0.41575,0.46873,0.50195,0.51301
NA,2018,"Tottori","Jul",186,"GmWMC186","C1",5,0,0.00598,0.00791,0.00805,0.0085,0.00658,0.00757,0.01278,0.02008,0.02416,0.02761,0.04331,0.03953,0.03929,0.06588,0.09449,0.13723,0.15341,0.15399,0.24111,0.22924,0.29065,0.32461,0.35495,0.49722,0.54181,0.59526
NA,2018,"Tottori","Jul",35,"GmWMC035","C1",6,0,0.0182,0.02631,0.03129,0.03737,0.03733,0.03865,0.06182,0.07659,0.08671,0.11575,0.13944,0.14559,0.1653,0.21074,0.25011,0.28715,0.33255,0.37491,0.4095,0.41769,0.45514,0.48154,0.55819,0.67171,0.69016,0.71762
NA,2018,"Tottori","Jul",9,"GmJMC009","C1",7,0,0.01407,0.01848,0.01935,0.01873,0.01953,0.02202,0.03532,0.042,0.04209,0.06551,0.08481,0.07884,0.10144,0.13921,0.15663,0.20625,0.22985,0.27737,0.31281,0.2981,0.3336,0.35017,0.39267,0.42456,0.43692,0.45005
NA,2018,"Tottori","Jul",56,"GmJMC056","C1",8,0,0.01379,0.02113,0.0237,0.02504,0.02318,0.02385,0.03902,0.04589,0.04411,0.06524,0.08472,0.07632,0.09224,0.11521,0.14546,0.18913,0.21884,0.25584,0.30767,0.30258,0.3484,0.38546,0.43935,0.51944,0.53561,0.58845
NA,2018,"Tottori","Jul",185,"GmWMC185","C1",9,0,0.01385,0.02004,0.02405,0.02467,0.02636,0.02848,0.03643,0.05166,0.05325,0.07898,0.10623,0.10477,0.12489,0.16455,0.2029,0.2449,0.2781,0.32624,0.36579,0.36585,0.37294,0.40615,0.48086,0.62153,0.64891,0.70808
NA,2018,"Tottori","Jul",226,"Houjaku Kuwazu","C1",10,0,0.01831,0.01969,0.02334,0.0252,0.02227,0.02122,0.0369,0.03942,0.0502,0.06204,0.0869,0.08389,0.09798,0.11764,0.15667,0.18939,0.22174,0.25665,0.29868,0.30494,0.32056,0.3449,0.39031,0.5802,0.59725,0.65972
NA,2018,"Tottori","Jul",93,"GmJMC093","C1",11,0,0.02638,0.03237,0.03885,0.03857,0.039,0.04052,0.05038,0.06705,0.08115,0.10966,0.1335,0.14343,0.16663,0.21473,0.25703,0.31276,0.34416,0.39511,0.42968,0.41348,0.45083,0.47662,0.54845,0.6728,0.69158,0.75558
NA,2018,"Tottori","Jul",109,"GmWMC109","C1",12,0,0.01086,0.01317,0.01359,0.0154,0.01602,0.01723,0.02628,0.0375,0.04311,0.05255,0.07892,0.07022,0.07761,0.11114,0.13008,0.17438,0.20463,0.22983,0.27974,0.26433,0.31436,0.35042,0.38729,0.48405,0.55987,0.61897
NA,2018,"Tottori","Jul",41,"GmJMC041","C1",13,0,0.01003,0.01524,0.01676,0.01608,0.01361,0.01254,0.02692,0.03649,0.04517,0.05837,0.06791,0.07411,0.07681,0.0818,0.15362,0.17473,0.20531,0.24986,0.28109,0.29514,0.31934,0.3272,0.3617,0.44133,0.41912,0.45711
NA,2018,"Tottori","Jul",150,"GmWMC150","C1",14,0,0.01006,0.00934,0.01034,0.0094,0.00923,0.00933,0.01282,0.01962,0.02497,0.0279,0.03688,0.03702,0.04419,0.08101,0.08014,0.11646,0.12979,0.17561,0.19796,0.19371,0.26041,0.26565,0.30611,0.49143,0.57208,0.63429
NA,2018,"Tottori","Jul",110,"GmJMC110","C1",15,0,0.01643,0.02415,0.03389,0.03625,0.0403,0.0436,0.06246,0.0785,0.08422,0.11263,0.12558,0.12368,0.14761,0.19588,0.22318,0.25287,0.3022,0.36264,0.36636,0.36766,0.38731,0.42604,0.50471,0.56646,0.60681,0.64627
