"ID","year","place","sowing","varietyID","variety","block","plot","ind","CanopyArea_20180722","CanopyArea_20180723","CanopyArea_20180724","CanopyArea_20180725","CanopyArea_20180726","CanopyArea_20180727","CanopyArea_20180728","CanopyArea_20180731","CanopyArea_20180801","CanopyArea_20180802","CanopyArea_20180803","CanopyArea_20180804","CanopyArea_20180805","CanopyArea_20180807","CanopyArea_20180808","CanopyArea_20180809","CanopyArea_20180810","CanopyArea_20180813","CanopyArea_20180814","CanopyArea_20180817","CanopyArea_20180818","CanopyArea_20180820","CanopyArea_20180825","CanopyArea_20180828"
NA,2018,"Tottori","Jul",72,"GmWMC072","D1",1,0,0.00749,0.01091,0.01017,0.01202,0.01117,0.01392,0.01602,0.02123,0.01522,0.01739,0.01803,0.01465,0.01438,0.00779,0.00987,0.01755,0.01698,0.01904,0.01106,0.01691,0.00943,0.01501,0.01663,0.0154
NA,2018,"Tottori","Jul",61,"GmJMC061","D1",2,0,0.0113,0.01621,0.01891,0.02043,0.02145,0.02159,0.03473,0.02901,0.0306,0.02523,0.02713,0.02642,0.0248,0.00958,0.01518,0.03194,0.02525,0.01781,0.01412,0.02137,0.01515,0.01729,0.01782,0.01634
NA,2018,"Tottori","Jul",164,"GmWMC164","D1",3,0,0.0175,0.0201,0.0234,0.02461,0.02626,0.02819,0.0426,0.03666,0.03606,0.03604,0.03845,0.03602,0.03201,0.02017,0.0301,0.04466,0.04334,0.02684,0.02215,0.03298,0.02961,0.03266,0.03191,0.02354
NA,2018,"Tottori","Jul",191,"GmWMC191","D1",4,0,0.00785,0.01157,0.01285,0.01343,0.01641,0.01466,0.01539,0.01751,0.01799,0.0196,0.02087,0.02286,0.01928,0.01584,0.02005,0.02739,0.01704,0.01805,0.01593,0.02293,0.0159,0.02002,0.01915,0.01119
NA,2018,"Tottori","Jul",129,"GmWMC129","D1",5,0,0.00756,0.0077,0.00975,0.00816,0.00918,0.01167,0.0163,0.02141,0.02176,0.02172,0.02614,0.02972,0.02516,0.01715,0.0257,0.03393,0.0344,0.03212,0.02649,0.03199,0.03352,0.02632,0.02684,0.02413
NA,2018,"Tottori","Jul",52,"GmJMC052","D1",6,0,0.00604,0.01031,0.01175,0.01262,0.01488,0.01842,0.02664,0.03409,0.03685,0.03928,0.03984,0.03926,0.03309,0.01622,0.03021,0.04152,0.04556,0.03583,0.02435,0.03529,0.02952,0.02891,0.02707,0.03247
NA,2018,"Tottori","Jul",104,"GmJMC104","D1",7,0,0.02598,0.04148,0.04735,0.04553,0.04768,0.04833,0.05938,0.05146,0.04839,0.0585,0.06602,0.06773,0.06331,0.04327,0.05604,0.06011,0.04413,0.05253,0.0517,0.06134,0.06475,0.06609,0.07163,0.0601
NA,2018,"Tottori","Jul",32,"GmJMC032","D1",8,0,0.00592,0.01024,0.01301,0.01329,0.01509,0.01648,0.01992,0.02422,0.02472,0.03096,0.03371,0.03435,0.02683,0.02238,0.03008,0.04446,0.03449,0.04887,0.03418,0.04257,0.03355,0.02993,0.02973,0.01546
NA,2018,"Tottori","Jul",226,"Houjaku Kuwazu","D1",9,0,0.02285,0.0271,0.03005,0.03026,0.03371,0.03022,0.04054,0.04467,0.04617,0.04989,0.05482,0.05275,0.04693,0.03711,0.0508,0.06916,0.07299,0.05844,0.05127,0.05886,0.07085,0.067,0.05677,0.04973
NA,2018,"Tottori","Jul",225,"UA-4805","D1",10,0,0.01018,0.00975,0.01215,0.01506,0.01599,0.01876,0.02138,0.0274,0.0271,0.0275,0.03086,0.03375,0.03031,0.02798,0.03359,0.03616,0.03174,0.03616,0.03889,0.03678,0.03394,0.03845,0.04823,0.03778
NA,2018,"Tottori","Jul",183,"GmWMC183","D1",11,0,0.00896,0.01006,0.01347,0.01338,0.01312,0.00975,0.01171,0.01573,0.0149,0.01796,0.02164,0.02295,0.02162,0.0192,0.02037,0.03625,0.02841,0.03243,0.03176,0.03774,0.03354,0.03625,0.03562,0.04861
NA,2018,"Tottori","Jul",161,"GmJMC161","D1",12,0,0.01464,0.01679,0.01951,0.02266,0.02171,0.02002,0.02271,0.02989,0.02938,0.0383,0.04204,0.03626,0.03322,0.03418,0.03264,0.04762,0.04662,0.03851,0.02775,0.04964,0.0326,0.02836,0.0358,0.0275
NA,2018,"Tottori","Jul",29,"GmWMC029","D1",13,0,0.00887,0.01167,0.01318,0.0135,0.01522,0.01348,0.02016,0.01741,0.01829,0.02363,0.02795,0.02716,0.02561,0.0134,0.02653,0.03483,0.02667,0.03484,0.02618,0.04302,0.0372,0.03038,0.03108,0.0325
NA,2018,"Tottori","Jul",60,"GmJMC060","D1",14,0,0.01754,0.02061,0.02666,0.03188,0.03211,0.03215,0.04159,0.05133,0.04722,0.04511,0.05059,0.04606,0.047,0.03372,0.04626,0.06359,0.06455,0.05071,0.0344,0.06117,0.04643,0.04098,0.04694,0.03755
NA,2018,"Tottori","Jul",108,"GmWMC108","D1",15,0,0.00622,0.00717,0.0099,0.0123,0.01167,0.01139,0.01567,0.01896,0.01943,0.02347,0.02682,0.02552,0.0229,0.02548,0.02469,0.03946,0.02842,0.03625,0.02946,0.04838,0.03386,0.03238,0.03742,0.02182
NA,2018,"Tottori","Jul",167,"GmJMC167","D1",16,0,0.02641,0.03519,0.0402,0.04308,0.04011,0.04564,0.05751,0.05536,0.05451,0.05494,0.05778,0.06167,0.05377,0.03855,0.04995,0.06804,0.05585,0.05588,0.05008,0.08468,0.07036,0.07553,0.07432,0.07785
NA,2018,"Tottori","Jul",105,"GmJMC105","D1",17,0,0.02432,0.03605,0.03354,0.04071,0.04065,0.04119,0.05328,0.04351,0.04279,0.04673,0.04959,0.05425,0.04298,0.02823,0.04147,0.06192,0.05425,0.04961,0.04386,0.06452,0.06354,0.06317,0.05149,0.05965
NA,2018,"Tottori","Jul",125,"GmWMC125","D1",18,0,0.01597,0.01919,0.02096,0.02217,0.02308,0.02323,0.02773,0.02858,0.02597,0.02809,0.03341,0.03385,0.0294,0.02048,0.0307,0.03597,0.03869,0.04104,0.03399,0.04036,0.03719,0.03813,0.04437,0.04044
NA,2018,"Tottori","Jul",11,"GmWMC011","D1",19,0,0.01805,0.02044,0.02125,0.02634,0.0284,0.03136,0.03943,0.04366,0.05276,0.05528,0.05978,0.06287,0.05958,0.04548,0.06003,0.06558,0.06281,0.0682,0.0672,0.10361,0.09241,0.10651,0.10474,0.10922
NA,2018,"Tottori","Jul",22,"GmWMC022","D1",20,0,0.00765,0.01196,0.0114,0.01453,0.01604,0.01793,0.02314,0.02976,0.03602,0.03807,0.04189,0.04396,0.04095,0.03865,0.04218,0.0592,0.04595,0.04125,0.04287,0.06691,0.05845,0.05433,0.04539,0.0503
NA,2018,"Tottori","Jul",121,"GmJMC121","D1",21,0,0.00908,0.01168,0.0166,0.01508,0.01572,0.01652,0.02366,0.02375,0.02458,0.02494,0.02908,0.03332,0.02802,0.02364,0.02836,0.04988,0.04617,0.04228,0.03064,0.04964,0.04746,0.04542,0.04222,0.04509
NA,2018,"Tottori","Jul",181,"GmWMC181","D1",22,0,0.01335,0.01588,0.01574,0.01728,0.01895,0.0192,0.0237,0.02805,0.02935,0.03048,0.03218,0.03406,0.02935,0.02372,0.02855,0.03473,0.03429,0.04348,0.0332,0.04411,0.03767,0.03916,0.05102,0.04639
NA,2018,"Tottori","Jul",51,"GmJMC051","D1",23,0,0.01521,0.0186,0.01973,0.02121,0.02404,0.02207,0.02436,0.03511,0.03534,0.04222,0.04892,0.05174,0.04396,0.0312,0.03381,0.05261,0.05744,0.04703,0.02702,0.05002,0.03373,0.051,0.03507,0.0432
NA,2018,"Tottori","Jul",10,"GmWMC010","D1",24,0,0.02174,0.02742,0.02719,0.02978,0.03571,0.03295,0.03822,0.04848,0.04878,0.05562,0.05714,0.05959,0.05437,0.04092,0.05338,0.06789,0.07127,0.05697,0.04393,0.05832,0.04276,0.04638,0.03721,0.04789
NA,2018,"Tottori","Jul",134,"GmWMC134","D1",25,0,0.00759,0.01013,0.0104,0.01066,0.01193,0.01208,0.01799,0.02516,0.02744,0.03144,0.0349,0.03617,0.03669,0.0312,0.04015,0.04814,0.04957,0.03675,0.03781,0.05054,0.04239,0.04263,0.02937,0.03467
NA,2018,"Tottori","Jul",24,"GmWMC024","D1",26,0,0.01066,0.01463,0.01358,0.01607,0.01727,0.01627,0.01817,0.02036,0.01755,0.02059,0.0227,0.02324,0.01763,0.01241,0.01675,0.02125,0.02226,0.0291,0.01836,0.02661,0.01579,0.01605,0.02525,0.01634
NA,2018,"Tottori","Jul",77,"GmJMC077","D1",27,0,0.01943,0.02837,0.02677,0.03046,0.02918,0.0302,0.03978,0.04442,0.04344,0.04454,0.04663,0.04473,0.04245,0.02899,0.03781,0.04518,0.04955,0.04364,0.03646,0.03861,0.03604,0.03649,0.04905,0.04439
NA,2018,"Tottori","Jul",223,"C1329","D1",28,0,0.01169,0.01704,0.01697,0.01937,0.01841,0.01915,0.0223,0.03166,0.02744,0.03479,0.03744,0.04059,0.03387,0.0193,0.03732,0.04674,0.04688,0.04316,0.02926,0.04361,0.03929,0.04596,0.037,0.03381
NA,2018,"Tottori","Jul",111,"GmJMC111","D1",29,0,0.01973,0.02678,0.02226,0.02715,0.03074,0.02827,0.03572,0.03413,0.03322,0.0389,0.03933,0.04196,0.03778,0.02446,0.03484,0.03203,0.04272,0.0346,0.03022,0.03126,0.03423,0.04428,0.03728,0.04351
NA,2018,"Tottori","Jul",190,"GmWMC190","D1",30,0,0.01599,0.0201,0.01999,0.02052,0.02623,0.02514,0.03021,0.03409,0.03529,0.03908,0.04367,0.04878,0.04214,0.02938,0.046,0.0555,0.06173,0.04397,0.03805,0.04747,0.05494,0.05211,0.04261,0.04162
NA,2018,"Tottori","Jul",62,"GmJMC062","D1",31,0,0.02021,0.02713,0.02884,0.03162,0.03468,0.03836,0.04772,0.05523,0.05456,0.06498,0.06808,0.06355,0.06434,0.04856,0.06421,0.06318,0.07697,0.07466,0.06339,0.0799,0.08695,0.09132,0.09819,0.11022
NA,2018,"Tottori","Jul",131,"GmJMC131","D1",32,0,0.01912,0.02638,0.0297,0.03739,0.03695,0.03789,0.05163,0.05242,0.04873,0.05968,0.0573,0.05704,0.04459,0.04484,0.03884,0.04746,0.05423,0.07335,0.04393,0.05666,0.06226,0.06068,0.06147,0.06571
NA,2018,"Tottori","Jul",67,"GmJMC067","D1",33,0,0.01162,0.01842,0.01643,0.02171,0.02248,0.02326,0.03344,0.03005,0.02745,0.02835,0.033,0.0349,0.02573,0.01564,0.02957,0.04519,0.05278,0.03128,0.02483,0.04095,0.03352,0.02852,0.03427,0.03466
NA,2018,"Tottori","Jul",37,"GmJMC037","D1",34,0,0.02175,0.02755,0.0252,0.03091,0.03087,0.03556,0.05503,0.05169,0.06116,0.06146,0.06606,0.07512,0.06391,0.04208,0.05368,0.09682,0.10482,0.06507,0.05243,0.06644,0.06808,0.06584,0.06693,0.05411
NA,2018,"Tottori","Jul",16,"GmJMC016","D1",35,0,0.01399,0.02069,0.02337,0.0236,0.02743,0.02894,0.04112,0.03969,0.03809,0.04867,0.04923,0.04904,0.04586,0.0419,0.05078,0.07575,0.07656,0.06328,0.04457,0.06071,0.05976,0.05964,0.06172,0.04482
