"ID","year","place","sowing","varietyID","variety","block","plot","ind","CanopyArea_20190725","CanopyArea_20190726","CanopyArea_20190727","CanopyArea_20190729","CanopyArea_20190730","CanopyArea_20190731","CanopyArea_20190801","CanopyArea_20190803","CanopyArea_20190805","CanopyArea_20190806","CanopyArea_20190807","CanopyArea_20190809","CanopyArea_20190810","CanopyArea_20190811","CanopyArea_20190812","CanopyArea_20190813","CanopyArea_20190814","CanopyArea_20190816","CanopyArea_20190817","CanopyArea_20190818","CanopyArea_20190819","CanopyArea_20190820","CanopyArea_20190821","CanopyArea_20190822","CanopyArea_20190823","CanopyArea_20190824","CanopyArea_20190825","CanopyArea_20190826","CanopyArea_20190827","CanopyArea_20190829","CanopyArea_20190830","CanopyArea_20190831","CanopyArea_20190903","CanopyArea_20190904","CanopyArea_20190907"
NA,2019,"Tottori","Jul",13,"GmJMC013","W4",1,0,0.0057411,0.0047223,0.0053675,0.0065823,0.0088641,0.0081591,0.0068346,0.0062775,0.0087712,0.0141527,0.012828,0.0120236,0.0080343,0.0143403,0.010573,0.0148477,0.0127772,0.0299324,0.0120341,0.0101289,0.0373735,0.0449561,0.0324155,0.058906,0.0725358,0.063686,0.0609914,0.0784877,0.0877403,0.1074849,0.0723447,0.0902754,0.0511971,0.116715,0.0724893
NA,2019,"Tottori","Jul",55,"GmJMC055","W4",2,0,0.0104849,0.0080347,0.0094718,0.0077755,0.009462,0.0113182,0.0114649,0.010473,0.0145507,0.0185394,0.0161192,0.0161828,0.0151777,0.0243489,0.0174398,0.0222469,0.0172746,0.0233123,0.0187974,0.0253842,0.0308784,0.0356884,0.0146727,0.0337008,0.0451208,0.0386574,0.0382476,0.0416339,0.0495567,0.0640379,0.0517906,0.0521761,0.0573354,0.0872617,0.0757008
NA,2019,"Tottori","Jul",72,"GmWMC072","W4",3,0,0.0081199,0.0099819,0.0109092,0.0087212,0.0078297,0.0079116,0.009183,0.0106986,0.0095323,0.013848,0.0204859,0.0162628,0.0177681,0.0334653,0.02459,0.0293276,0.0286103,0.0441296,0.0290541,0.035981,0.0784513,0.0859438,0.0783196,0.1092532,0.1225081,0.1074922,0.1026554,0.1247692,0.1501582,0.1722461,0.1517922,0.1718203,0.1726596,0.2686194,0.2056413
NA,2019,"Tottori","Jul",81,"GmJMC081","W4",4,0,0.000379,0.0004029,0.0002448,0.0002988,0.0002183,0.0003578,0.0006381,0.0003694,0.0008751,0.0020633,0.0008929,0.0013375,0.0011526,0.00157,0.0009448,0.0013617,0.0017314,0.0036607,0.0016423,0.0021397,0.0048924,0.0078825,0.0046559,0.0087729,0.0104518,0.0065652,0.0059786,0.0082576,0.0111968,0.0110243,0.0127677,0.0106516,0.0068951,0.0288119,0.0237732
NA,2019,"Tottori","Jul",39,"GmJMC039","W4",5,0,0.0133305,0.0135843,0.0131809,0.016424,0.0158365,0.0140299,0.0143988,0.0160445,0.0251009,0.0268862,0.0327862,0.02716,0.032455,0.0427563,0.0346646,0.0496242,0.0377866,0.0650131,0.0505341,0.0647634,0.068305,0.1026447,0.0688342,0.1242738,0.1446356,0.1277881,0.1225784,0.1393441,0.1498186,0.208125,0.1339515,0.1568131,0.142945,0.2344268,0.1524955
NA,2019,"Tottori","Jul",61,"GmJMC061","W4",6,0,0.0158708,0.0137668,0.0160741,0.0182374,0.0186639,0.0206118,0.0253982,0.0232446,0.0279252,0.0320975,0.0354424,0.0309414,0.0283526,0.0439101,0.0379616,0.0497487,0.043368,0.0726036,0.0505189,0.0595472,0.1160201,0.1315916,0.1353942,0.1745528,0.1834053,0.1669769,0.1683276,0.1894922,0.2201444,0.2538351,0.2021556,0.2393817,0.210063,0.3269899,0.1760589
NA,2019,"Tottori","Jul",37,"GmJMC037","W4",7,0,0.0151921,0.0143242,0.0181707,0.0179443,0.0172431,0.0200778,0.0238145,0.0248844,0.0245461,0.0314555,0.0272209,0.0308092,0.0353377,0.0533908,0.0377457,0.0523505,0.0494122,0.0684607,0.0562255,0.0634216,0.132395,0.1206795,0.1227946,0.1564533,0.1711822,0.1333845,0.1302409,0.1446677,0.1563186,0.1840466,0.1367029,0.1535165,0.1017563,0.1721286,0.1166045
NA,2019,"Tottori","Jul",22,"GmWMC022","W4",8,0,0.0149576,0.0117004,0.0143299,0.0176007,0.0156866,0.0168962,0.0194763,0.0192926,0.0184237,0.0271669,0.0214126,0.0213851,0.0255958,0.0310596,0.031195,0.0377041,0.0457578,0.056532,0.0471253,0.0572725,0.0948424,0.1027757,0.1074641,0.1329601,0.143979,0.1414446,0.1382689,0.1480285,0.161828,0.1736317,0.1688164,0.1797723,0.131214,0.2245393,0.1703758
NA,2019,"Tottori","Jul",54,"GmJMC054","W4",9,0,0.0126319,0.0122841,0.0131556,0.0128286,0.0155062,0.0208454,0.0188091,0.0174974,0.0206428,0.0282298,0.0277295,0.0307141,0.0288502,0.0438808,0.0366049,0.0420563,0.033666,0.0610072,0.0481761,0.0561596,0.0912703,0.1144801,0.0927108,0.1435195,0.1643528,0.1481952,0.1625312,0.1846745,0.2094527,0.2388242,0.2149561,0.2460997,0.2190977,0.3156784,0.2194222
NA,2019,"Tottori","Jul",155,"GmWMC155","W4",10,0,0.0111704,0.0097811,0.0137766,0.0121675,0.0109721,0.0112159,0.0100201,0.0106831,0.0169715,0.0173655,0.0180645,0.0186023,0.0184155,0.027222,0.0245843,0.0308188,0.0309442,0.0498724,0.044994,0.0423616,0.0975801,0.1059168,0.1033355,0.1514844,0.1562863,0.1467205,0.1551828,0.1681251,0.1779882,0.226005,0.2220939,0.2269063,0.2268293,0.3029618,0.2815109
