"","LAIamp","a","b","Ts","Ti"
"5002T_y2017_C1-0145",1.40418126237399,0.00884026941196441,0.00637557124303554,1533.33333333333,883.333333333333
"5002T_y2017_C2-0020",1.22438194194344,0.00937404234806953,0.00700951216366693,1533.33333333333,816.666666666667
"5002T_y2017_D1-0109",0.437164230256567,0.00757367110943551,0.00975837305119108,1800,616.666666666667
"5002T_y2017_D2-0168",0.455721239959866,0.00359292937338351,0.00966348955828801,1933.33333333333,750
"5002T_y2018_C1-0048",0.657696221310171,0.0237038819552933,0.00922797605243421,2066.66666666667,816.666666666667
"5002T_y2018_C2-0100",0.633620745303767,0.0222063634464492,0.0121330022041742,1933.33333333333,750
"5002T_y2018_D1-0083",0.0742715880027337,0.007258217336932,0.00613796377637768,1266.66666666667,550
"5002T_y2018_D2-0141",0.155129133878432,0.00610994940370747,0.00403749331730593,1400,950
"5002T_y2019_W1-0084",0.240017793122175,0.0145343792252901,0.00778980586080957,1266.66666666667,950
"5002T_y2019_W4-0122",0.0884577240123879,0.00861774681898186,0.00749467750595141,1266.66666666667,950
"C0394_y2017_C1-0064",1.14512602770839,0.00300000000824208,0.00635367061142021,2333.33333333333,816.666666666667
"C0394_y2017_C2-0162",1.53072076353336,0.00300000050567921,0.00501124226008472,2333.33333333333,950
"C0394_y2017_D1-0005",0.495432204842399,0.0206833346894219,0.00827835211748388,2600,616.666666666667
"C0394_y2017_D2-0067",0.612564012199212,0.0141021652036777,0.0096509910220356,3000,683.333333333333
"C0394_y2018_C1-0055",0.897848718635436,0.00889260875192315,0.00909063627410136,2466.66666666667,816.666666666667
"C0394_y2018_C2-0191",1.0270286598302,0.0156989292739823,0.00797046456735632,2733.33333333333,816.666666666667
"C0394_y2018_D1-0054",0.0642960793626074,0.0250190088372809,0.00493758908070692,2333.33333333333,550
"C0394_y2018_D2-0107",0.170786527414339,0.00916826921157921,0.00268500423346537,2600,950
"C0394_y2019_W1-0172",0.633055710872756,0.020090526143874,0.0069121991849723,2333.33333333333,816.666666666667
"C0394_y2019_W4-0061",0.138132874918854,0.00895172895276304,0.00338537457840545,2866.66666666667,950
"C1290_y2017_C1-0043",1.25807154580743,0.00321616464324154,0.00725584896686498,1800,883.333333333333
"C1290_y2017_C2-0017",1.09619192776847,0.00325071629023707,0.00643500339990575,1800,883.333333333333
"C1290_y2017_D1-0142",0.442730772301137,0.0157459513950852,0.00887259409032069,2600,683.333333333333
"C1290_y2017_D2-0145",0.485856541750692,0.0165085595797418,0.0101401815664048,2600,683.333333333333
"C1290_y2018_C1-0072",0.491634300928005,0.0215055533777841,0.0109438686996687,1933.33333333333,816.666666666667
"C1290_y2018_C2-0181",0.665939231632359,0.0037863333325772,0.00900400361137404,1800,816.666666666667
"C1290_y2018_D1-0089",0.0793263635085057,0.0239758824327025,0.00940074998319514,1800,550
"C1290_y2018_D2-0110",0.179986454974082,0.0223490526208602,0.00480245836726529,2600,816.666666666667
"C1290_y2019_W1-0162",1.00249688406906,0.00387359348433396,0.00712359015708536,1800,883.333333333333
"C1290_y2019_W4-0097",0.145756638406024,0.0066350164345517,0.01169870130466,1800,816.666666666667
"C1322_y2017_C1-0191",1.56060407328304,0.0262596549623357,0.00760253620056276,2066.66666666667,816.666666666667
"C1322_y2017_C2-0159",1.68729945239524,0.0256871883461155,0.0055260325037162,1933.33333333333,950
"C1322_y2017_D1-0088",0.611783039667847,0.0281611083484446,0.0098414830447967,2066.66666666667,616.666666666667
"C1322_y2017_D2-0096",0.639542708455046,0.0261538432934051,0.0089149062902389,2066.66666666667,750
"C1322_y2018_C1-0148",1.23348854343529,0.00300000043062909,0.00634958877028346,1533.33333333333,883.333333333333
"C1322_y2018_C2-0005",0.951829881665526,0.00300000058142791,0.00824608614124049,1800,816.666666666667
"C1322_y2018_D1-0076",0.0675278035626191,0.0231151516953678,0.00378431018118132,1266.66666666667,616.666666666667
"C1322_y2018_D2-0196",0.157906455760027,0.0126571899672009,0.00356553370003932,1400,950
"C1322_y2019_W1-0011",0.647923916568304,0.00781413991551618,0.00714423010662148,1266.66666666667,883.333333333333
"C1322_y2019_W4-0126",0.101320820745057,0.0230312015037075,0.00396058000051661,1266.66666666667,950
"C1329_y2017_C1-0057",2.63507468652935,0.00952350305124696,0.00748323090227999,2066.66666666667,950
"C1329_y2017_C2-0120",2.0536940028599,0.0112990780734639,0.00582223675141353,2866.66666666667,950
"C1329_y2017_D1-0198",0.420233100356196,0.0118751219215963,0.00500014890623483,2866.66666666667,950
"C1329_y2017_D2-0036",0.438429277652887,0.0217784609734971,0.0141787254321852,2866.66666666667,683.333333333333
"C1329_y2018_C1-0124",0.931625819876902,0.0280169821160157,0.0090418748413763,2333.33333333333,816.666666666667
"C1329_y2018_C2-0125",0.923063164518978,0.012654068652046,0.00884417566855694,2866.66666666667,816.666666666667
