,Date,Temp.avg,Temp.min,Temp.max,Rainfall.mm,Radiation.MJ,SunlightHour
1,2017/5/1,15.3,7,19.4,0,14.28272552,NA
2,2017/5/2,12.8,7.1,18.2,0,26.62188377,NA
3,2017/5/3,19.7,8.6,26.1,0,19.11578237,NA
4,2017/5/4,21.5,15.2,28.3,0,27.01076457,NA
5,2017/5/5,20.8,16.1,26.7,0,15.65283541,NA
6,2017/5/6,17.4,12.8,22.1,14,12.14317198,NA
7,2017/5/7,18.6,13.1,23.3,0,26.55214881,NA
8,2017/5/8,17.8,12,23.3,0,25.1143352,NA
9,2017/5/9,17.3,13.8,22.1,1,4.181666667,NA
10,2017/5/10,18.1,15.4,24.2,4,13.20270946,NA
11,2017/5/11,18.2,13.7,23.5,0,19.75967524,NA
12,2017/5/12,20.5,15.3,25.2,2,13.87596136,NA
13,2017/5/13,16.5,13,19.2,4.5,9.472386074,NA
14,2017/5/14,18.1,11.9,22.4,0,24.91258597,NA
15,2017/5/15,16.9,12.3,21.5,0,12.36220793,NA
16,2017/5/16,15.5,11.1,20.1,0,22.17317948,NA
17,2017/5/17,14.5,8.4,17.4,0,10.80587215,NA
18,2017/5/18,15.4,9.5,20.5,0,29.79696548,NA
19,2017/5/19,19.5,11.9,27.3,0,29.38688616,NA
20,2017/5/20,21,14.5,29.6,0,28.97592983,NA
21,2017/5/21,20.4,14.1,28.8,0,25.89839573,NA
22,2017/5/22,19.8,15.1,25.7,0,28.5956287,NA
23,2017/5/23,19.6,10.8,25.7,0,25.81248014,NA
24,2017/5/24,20,18,24,4.5,4.181666667,NA
25,2017/5/25,20.2,17.2,23.8,2,19.79914764,NA
26,2017/5/26,17.1,12.2,20.9,0,4.181666667,NA
27,2017/5/27,16.1,11.7,20.9,1,16.15158936,NA
28,2017/5/28,17.6,11.9,22.7,0,28.02508066,NA
29,2017/5/29,22,17,27.9,0,28.79057047,NA
30,2017/5/30,22,15.7,29.4,0,23.48324524,NA
31,2017/5/31,22.3,17.1,27.2,3,15.21307053,NA
32,2017/6/1,20.2,15.5,26.2,34.5,22.63987559,NA
33,2017/6/2,17.9,14.4,21.5,1,20.4395906,NA
34,2017/6/3,15.9,11.1,20.5,0,22.97732121,NA
35,2017/6/4,16.5,11.6,21.5,0,29.51259177,NA
36,2017/6/5,17.2,11,22.9,0,29.53072706,NA
37,2017/6/6,19.5,12.4,25.5,0,22.43934597,NA
38,2017/6/7,19.4,17.6,21.6,12.5,4.181666667,NA
39,2017/6/8,20.4,16.8,23.3,0,12.40017182,NA
40,2017/6/9,20.9,14.9,27.4,0,28.11220562,NA
41,2017/6/10,19.8,15.3,26.1,4,17.90677449,NA
42,2017/6/11,17.6,12.1,21.6,0,22.50970733,NA
43,2017/6/12,16.7,11.9,21.4,0,20.89166148,NA
44,2017/6/13,16.4,11.7,21.5,0,22.97492748,NA
45,2017/6/14,17.2,11.6,23,0,30.68472357,NA
46,2017/6/15,21.3,14.5,29.2,0,29.50784125,NA
47,2017/6/16,19.1,16.8,22.3,0,22.70234481,NA
48,2017/6/17,19.4,14.9,23.3,0,25.81809565,NA
49,2017/6/18,19.7,14.4,25.1,0,22.86094682,NA
50,2017/6/19,21,16.4,25.9,0,29.82504215,NA
51,2017/6/20,23.8,17.7,31.3,1.5,15.01827797,NA
52,2017/6/21,21.1,17.6,25.5,0.5,13.53891664,NA
53,2017/6/22,21,17,24.7,0,19.75938807,NA
54,2017/6/23,21.7,17.9,25.7,0,28.34831036,NA
55,2017/6/24,22.3,16.9,25.6,1,20.79394152,NA
56,2017/6/25,20.9,19.7,22.5,1.5,4.181666667,NA
57,2017/6/26,21,16.9,24.7,0,21.38000744,NA
58,2017/6/27,21.3,18.2,25.4,0,15.45152004,NA
59,2017/6/28,22.8,19.4,28.2,0,20.33284181,NA
60,2017/6/29,23.8,21.1,30.1,3.5,12.47703846,NA
61,2017/6/30,25.9,22.5,30.9,2,11.7286996,NA
62,2017/7/1,26.3,22.9,31.9,3,14.38547912,NA
63,2017/7/2,26.8,21.9,32.5,2.5,17.63359486,NA
64,2017/7/3,28.1,24.7,35.6,0,20.43639221,NA
65,2017/7/4,24.9,22.4,28.8,35.5,10.65017156,NA
66,2017/7/5,23.1,21,25.2,1.5,4.181666667,NA
67,2017/7/6,23.8,21.1,27.7,0,23.06293531,NA
68,2017/7/7,25.5,22,29.2,0,25.41734013,NA
69,2017/7/8,27.4,24.8,33.4,0,13.10942792,NA
70,2017/7/9,24.9,23.4,27.5,38,4.181666667,NA
71,2017/7/10,29.1,23.7,34.7,0,19.73839191,NA
72,2017/7/11,28.7,24.2,35.3,5,15.72071828,NA
